Variable 1,Variable 2,Correlation (Total),Correlation (Churn=0),Correlation (Churn=1),Correlation (Total) (ABS),Correlation (Churn=0) (ABS),Correlation (Churn=1) (ABS)
loc_og_t2t_mou_7,arpu_7,0.2284,0.2271,0.2477,0.2284,0.2271,0.2477
loc_og_t2t_mou_7,arpu_8,0.1869,0.1831,0.1305,0.1869,0.1831,0.1305
loc_og_t2t_mou_7,onnet_mou_6,0.3933,0.4262,0.2009,0.3933,0.4262,0.2009
loc_og_t2t_mou_7,onnet_mou_7,0.4991,0.5194,0.3056,0.4991,0.5194,0.3056
loc_og_t2t_mou_7,onnet_mou_8,0.398,0.4044,0.1691,0.398,0.4044,0.1691
loc_og_t2t_mou_7,offnet_mou_6,0.1253,0.1352,0.064,0.1253,0.1352,0.064
loc_og_t2t_mou_7,offnet_mou_7,0.1275,0.1275,0.1348,0.1275,0.1275,0.1348
loc_og_t2t_mou_7,offnet_mou_8,0.1111,0.1072,0.082,0.1111,0.1072,0.082
loc_og_t2t_mou_7,roam_ic_mou_6,0.0179,0.0249,-0.0083,0.0179,0.0249,0.0083
loc_og_t2t_mou_7,roam_ic_mou_7,-0.0043,0.0002,-0.0146,0.0043,0.0002,0.0146
loc_og_t2t_mou_7,roam_ic_mou_8,0.0224,0.0313,-0.0057,0.0224,0.0313,0.0057
loc_og_t2t_mou_7,roam_og_mou_6,0.0165,0.0231,-0.0069,0.0165,0.0231,0.0069
loc_og_t2t_mou_7,roam_og_mou_7,-0.0003,0.0049,-0.0086,0.0003,0.0049,0.0086
loc_og_t2t_mou_7,roam_og_mou_8,0.0141,0.0204,0.0012,0.0141,0.0204,0.0012
loc_og_t2t_mou_7,loc_og_t2t_mou_6,0.7904,0.8092,0.5108,0.7904,0.8092,0.5108
loc_og_t2t_mou_8,arpu_6,0.1816,0.1967,0.0548,0.1816,0.1967,0.0548
loc_og_t2t_mou_8,arpu_7,0.1934,0.1956,0.1316,0.1934,0.1956,0.1316
loc_og_t2t_mou_8,arpu_8,0.2254,0.2192,0.1942,0.2254,0.2192,0.1942
loc_og_t2t_mou_8,onnet_mou_6,0.3456,0.3825,0.0788,0.3456,0.3825,0.0788
loc_og_t2t_mou_8,onnet_mou_7,0.4042,0.4267,0.1433,0.4042,0.4267,0.1433
loc_og_t2t_mou_8,onnet_mou_8,0.4972,0.501,0.3407,0.4972,0.501,0.3407
loc_og_t2t_mou_8,offnet_mou_6,0.1242,0.1371,0.0249,0.1242,0.1371,0.0249
loc_og_t2t_mou_8,offnet_mou_7,0.1141,0.1168,0.068,0.1141,0.1168,0.068
loc_og_t2t_mou_8,offnet_mou_8,0.1353,0.1288,0.1621,0.1353,0.1288,0.1621
loc_og_t2t_mou_8,roam_ic_mou_6,0.0277,0.0366,-0.0038,0.0277,0.0366,0.0038
loc_og_t2t_mou_8,roam_ic_mou_7,0.0021,0.0089,-0.0142,0.0021,0.0089,0.0142
loc_og_t2t_mou_8,roam_ic_mou_8,0.0078,0.0151,-0.0161,0.0078,0.0151,0.0161
loc_og_t2t_mou_8,roam_og_mou_6,0.0232,0.0314,-0.0044,0.0232,0.0314,0.0044
loc_og_t2t_mou_8,roam_og_mou_7,0.0041,0.0117,-0.0157,0.0041,0.0117,0.0157
loc_og_t2t_mou_8,roam_og_mou_8,0.0017,0.0075,-0.0079,0.0017,0.0075,0.0079
loc_og_t2t_mou_8,loc_og_t2t_mou_6,0.6993,0.7243,0.2432,0.6993,0.7243,0.2432
loc_og_t2t_mou_8,loc_og_t2t_mou_7,0.8156,0.8225,0.4874,0.8156,0.8225,0.4874
loc_og_t2m_mou_6,arpu_6,0.4305,0.4471,0.3391,0.4305,0.4471,0.3391
loc_og_t2m_mou_6,arpu_7,0.3256,0.3335,0.1932,0.3256,0.3335,0.1932
loc_og_t2m_mou_6,arpu_8,0.2868,0.2922,0.0633,0.2868,0.2922,0.0633
loc_og_t2m_mou_6,onnet_mou_6,0.1237,0.1351,0.0794,0.1237,0.1351,0.0794
loc_og_t2m_mou_6,onnet_mou_7,0.0843,0.0886,0.0348,0.0843,0.0886,0.0348
loc_og_t2m_mou_6,onnet_mou_8,0.0787,0.0774,0.0131,0.0787,0.0774,0.0131
loc_og_t2m_mou_6,offnet_mou_6,0.5457,0.5753,0.369,0.5457,0.5753,0.369
loc_og_t2m_mou_6,offnet_mou_7,0.386,0.4008,0.2164,0.386,0.4008,0.2164
loc_og_t2m_mou_6,offnet_mou_8,0.333,0.3393,0.1018,0.333,0.3393,0.1018
loc_og_t2m_mou_6,roam_ic_mou_6,-0.0241,-0.0216,-0.0294,0.0241,0.0216,0.0294
loc_og_t2m_mou_6,roam_ic_mou_7,0.0047,0.0144,-0.0195,0.0047,0.0144,0.0195
loc_og_t2m_mou_6,roam_ic_mou_8,0.0136,0.0238,-0.0174,0.0136,0.0238,0.0174
loc_og_t2m_mou_6,roam_og_mou_6,-0.0242,-0.0207,-0.0283,0.0242,0.0207,0.0283
loc_og_t2m_mou_6,roam_og_mou_7,0.0009,0.0099,-0.0225,0.0009,0.0099,0.0225
loc_og_t2m_mou_6,roam_og_mou_8,0.0141,0.0249,-0.0214,0.0141,0.0249,0.0214
loc_og_t2m_mou_6,loc_og_t2t_mou_6,0.2665,0.2711,0.1771,0.2665,0.2711,0.1771
loc_og_t2m_mou_6,loc_og_t2t_mou_7,0.2326,0.233,0.162,0.2326,0.233,0.162
loc_og_t2m_mou_6,loc_og_t2t_mou_8,0.2367,0.2393,0.0714,0.2367,0.2393,0.0714
loc_og_t2m_mou_7,arpu_6,0.3603,0.3842,0.2004,0.3603,0.3842,0.2004
loc_og_t2m_mou_7,arpu_7,0.4195,0.4213,0.3746,0.4195,0.4213,0.3746
loc_og_t2m_mou_7,arpu_8,0.3471,0.346,0.1626,0.3471,0.346,0.1626
loc_og_t2m_mou_7,onnet_mou_6,0.0971,0.1103,0.0478,0.0971,0.1103,0.0478
loc_og_t2m_mou_7,onnet_mou_7,0.1162,0.1168,0.1206,0.1162,0.1168,0.1206
loc_og_t2m_mou_7,onnet_mou_8,0.0932,0.0882,0.0564,0.0932,0.0882,0.0564
loc_og_t2m_mou_7,offnet_mou_6,0.4382,0.4705,0.2364,0.4382,0.4705,0.2364
loc_og_t2m_mou_7,offnet_mou_7,0.5223,0.5344,0.4096,0.5223,0.5344,0.4096
loc_og_t2m_mou_7,offnet_mou_8,0.4114,0.4142,0.1933,0.4114,0.4142,0.1933
loc_og_t2m_mou_7,roam_ic_mou_6,0.0144,0.0235,-0.0105,0.0144,0.0235,0.0105
loc_og_t2m_mou_7,roam_ic_mou_7,-0.0182,-0.0115,-0.032,0.0182,0.0115,0.032
loc_og_t2m_mou_7,roam_ic_mou_8,0.006,0.0165,-0.0209,0.006,0.0165,0.0209
loc_og_t2m_mou_7,roam_og_mou_6,0.0227,0.0335,-0.0069,0.0227,0.0335,0.0069
loc_og_t2m_mou_7,roam_og_mou_7,-0.0152,-0.0052,-0.0391,0.0152,0.0052,0.0391
loc_og_t2m_mou_7,roam_og_mou_8,0.013,0.0248,-0.0181,0.013,0.0248,0.0181
loc_og_t2m_mou_7,loc_og_t2t_mou_6,0.2219,0.2262,0.1184,0.2219,0.2262,0.1184
loc_og_t2m_mou_7,loc_og_t2t_mou_7,0.2437,0.2389,0.2717,0.2437,0.2389,0.2717
loc_og_t2m_mou_7,loc_og_t2t_mou_8,0.2251,0.2228,0.1334,0.2251,0.2228,0.1334
loc_og_t2m_mou_7,loc_og_t2m_mou_6,0.7913,0.7979,0.646,0.7913,0.7979,0.646
loc_og_t2m_mou_8,arpu_6,0.3147,0.3424,0.1082,0.3147,0.3424,0.1082
loc_og_t2m_mou_8,arpu_7,0.3504,0.3587,0.1878,0.3504,0.3587,0.1878
loc_og_t2m_mou_8,arpu_8,0.4198,0.4134,0.3052,0.4198,0.4134,0.3052
loc_og_t2m_mou_8,onnet_mou_6,0.0804,0.096,0.0101,0.0804,0.096,0.0101
loc_og_t2m_mou_8,onnet_mou_7,0.0921,0.0963,0.0462,0.0921,0.0963,0.0462
loc_og_t2m_mou_8,onnet_mou_8,0.1195,0.111,0.1531,0.1195,0.111,0.1531
loc_og_t2m_mou_8,offnet_mou_6,0.3741,0.4118,0.0882,0.3741,0.4118,0.0882
loc_og_t2m_mou_8,offnet_mou_7,0.4142,0.4334,0.1816,0.4142,0.4334,0.1816
loc_og_t2m_mou_8,offnet_mou_8,0.5149,0.5121,0.423,0.5149,0.5121,0.423
loc_og_t2m_mou_8,roam_ic_mou_6,0.0223,0.0321,0.0098,0.0223,0.0321,0.0098
loc_og_t2m_mou_8,roam_ic_mou_7,-0.0046,0.0064,-0.039,0.0046,0.0064,0.039
loc_og_t2m_mou_8,roam_ic_mou_8,-0.0174,-0.0086,-0.0613,0.0174,0.0086,0.0613
loc_og_t2m_mou_8,roam_og_mou_6,0.0298,0.0419,0.0064,0.0298,0.0419,0.0064
loc_og_t2m_mou_8,roam_og_mou_7,-0.0019,0.0106,-0.0381,0.0019,0.0106,0.0381
loc_og_t2m_mou_8,roam_og_mou_8,-0.0121,-0.0014,-0.0587,0.0121,0.0014,0.0587
loc_og_t2m_mou_8,loc_og_t2t_mou_6,0.2127,0.2169,0.0854,0.2127,0.2169,0.0854
loc_og_t2m_mou_8,loc_og_t2t_mou_7,0.2232,0.2196,0.1641,0.2232,0.2196,0.1641
loc_og_t2m_mou_8,loc_og_t2t_mou_8,0.2513,0.2441,0.2857,0.2513,0.2441,0.2857
loc_og_t2m_mou_8,loc_og_t2m_mou_6,0.6941,0.7084,0.3171,0.6941,0.7084,0.3171
loc_og_t2m_mou_8,loc_og_t2m_mou_7,0.8141,0.8238,0.4893,0.8141,0.8238,0.4893
loc_og_t2f_mou_6,arpu_6,0.191,0.198,0.1694,0.191,0.198,0.1694
loc_og_t2f_mou_6,arpu_7,0.1643,0.1652,0.126,0.1643,0.1652,0.126
loc_og_t2f_mou_6,arpu_8,0.153,0.1503,0.0797,0.153,0.1503,0.0797
loc_og_t2f_mou_6,onnet_mou_6,0.012,0.0157,0.004,0.012,0.0157,0.004
loc_og_t2f_mou_6,onnet_mou_7,0.0029,0.0028,-0.0017,0.0029,0.0028,0.0017
loc_og_t2f_mou_6,onnet_mou_8,-0.0002,-0.0039,-0.0006,0.0002,0.0039,0.0006
loc_og_t2f_mou_6,offnet_mou_6,0.1531,0.1631,0.0977,0.1531,0.1631,0.0977
loc_og_t2f_mou_6,offnet_mou_7,0.1214,0.1252,0.0616,0.1214,0.1252,0.0616
loc_og_t2f_mou_6,offnet_mou_8,0.1114,0.1092,0.0503,0.1114,0.1092,0.0503
loc_og_t2f_mou_6,roam_ic_mou_6,-0.0053,-0.0044,0.0037,0.0053,0.0044,0.0037
loc_og_t2f_mou_6,roam_ic_mou_7,0.0038,0.0086,-0.002,0.0038,0.0086,0.002
loc_og_t2f_mou_6,roam_ic_mou_8,0.0084,0.0139,-0.0046,0.0084,0.0139,0.0046
loc_og_t2f_mou_6,roam_og_mou_6,-0.0128,-0.0121,0.0014,0.0128,0.0121,0.0014
loc_og_t2f_mou_6,roam_og_mou_7,0.0026,0.0066,0.0045,0.0026,0.0066,0.0045
loc_og_t2f_mou_6,roam_og_mou_8,0.006,0.0117,-0.0098,0.006,0.0117,0.0098
loc_og_t2f_mou_6,loc_og_t2t_mou_6,0.0856,0.0846,0.0779,0.0856,0.0846,0.0779
loc_og_t2f_mou_6,loc_og_t2t_mou_7,0.077,0.074,0.0863,0.077,0.074,0.0863
loc_og_t2f_mou_6,loc_og_t2t_mou_8,0.0739,0.0714,0.0415,0.0739,0.0714,0.0415
loc_og_t2f_mou_6,loc_og_t2m_mou_6,0.2393,0.2363,0.2527,0.2393,0.2363,0.2527
loc_og_t2f_mou_6,loc_og_t2m_mou_7,0.2277,0.2253,0.199,0.2277,0.2253,0.199
loc_og_t2f_mou_6,loc_og_t2m_mou_8,0.215,0.2123,0.1615,0.215,0.2123,0.1615
loc_og_t2f_mou_7,arpu_6,0.1628,0.1739,0.0851,0.1628,0.1739,0.0851
loc_og_t2f_mou_7,arpu_7,0.1968,0.1928,0.2511,0.1968,0.1928,0.2511
loc_og_t2f_mou_7,arpu_8,0.1677,0.1625,0.1208,0.1677,0.1625,0.1208
loc_og_t2f_mou_7,onnet_mou_6,0.0043,0.0087,-0.01,0.0043,0.0087,0.01
loc_og_t2f_mou_7,onnet_mou_7,0.0108,0.0097,0.0224,0.0108,0.0097,0.0224
loc_og_t2f_mou_7,onnet_mou_8,0.0044,0.0002,0.0006,0.0044,0.0002,0.0006
loc_og_t2f_mou_7,offnet_mou_6,0.1255,0.1366,0.0508,0.1255,0.1366,0.0508
loc_og_t2f_mou_7,offnet_mou_7,0.1475,0.1497,0.1187,0.1475,0.1497,0.1187
loc_og_t2f_mou_7,offnet_mou_8,0.1221,0.1188,0.0647,0.1221,0.1188,0.0647
loc_og_t2f_mou_7,roam_ic_mou_6,0.0022,0.0055,-0.0006,0.0022,0.0055,0.0006
loc_og_t2f_mou_7,roam_ic_mou_7,-0.0048,-0.002,-0.0003,0.0048,0.002,0.0003
loc_og_t2f_mou_7,roam_ic_mou_8,0.008,0.0135,-0.0016,0.008,0.0135,0.0016
loc_og_t2f_mou_7,roam_og_mou_6,-0.0054,-0.0021,-0.0066,0.0054,0.0021,0.0066
loc_og_t2f_mou_7,roam_og_mou_7,-0.0111,-0.0079,-0.0048,0.0111,0.0079,0.0048
loc_og_t2f_mou_7,roam_og_mou_8,0.0031,0.0083,-0.0047,0.0031,0.0083,0.0047
loc_og_t2f_mou_7,loc_og_t2t_mou_6,0.0723,0.0717,0.049,0.0723,0.0717,0.049
loc_og_t2f_mou_7,loc_og_t2t_mou_7,0.0809,0.0764,0.128,0.0809,0.0764,0.128
loc_og_t2f_mou_7,loc_og_t2t_mou_8,0.0747,0.0715,0.0431,0.0747,0.0715,0.0431
loc_og_t2f_mou_7,loc_og_t2m_mou_6,0.211,0.2099,0.1688,0.211,0.2099,0.1688
loc_og_t2f_mou_7,loc_og_t2m_mou_7,0.2508,0.2452,0.2903,0.2508,0.2452,0.2903
loc_og_t2f_mou_7,loc_og_t2m_mou_8,0.2248,0.2202,0.1949,0.2248,0.2202,0.1949
loc_og_t2f_mou_7,loc_og_t2f_mou_6,0.7735,0.7818,0.5047,0.7735,0.7818,0.5047
loc_og_t2f_mou_8,arpu_6,0.1497,0.1624,0.0493,0.1497,0.1624,0.0493
loc_og_t2f_mou_8,arpu_7,0.1683,0.1673,0.1704,0.1683,0.1673,0.1704
loc_og_t2f_mou_8,arpu_8,0.194,0.184,0.2599,0.194,0.184,0.2599
loc_og_t2f_mou_8,onnet_mou_6,-0.0001,0.0042,-0.0075,0.0001,0.0042,0.0075
loc_og_t2f_mou_8,onnet_mou_7,0.0047,0.0033,0.0258,0.0047,0.0033,0.0258
loc_og_t2f_mou_8,onnet_mou_8,0.014,0.0067,0.0864,0.014,0.0067,0.0864
loc_og_t2f_mou_8,offnet_mou_6,0.1151,0.1273,0.0229,0.1151,0.1273,0.0229
loc_og_t2f_mou_8,offnet_mou_7,0.1249,0.1281,0.0715,0.1249,0.1281,0.0715
loc_og_t2f_mou_8,offnet_mou_8,0.1484,0.1426,0.1368,0.1484,0.1426,0.1368
loc_og_t2f_mou_8,roam_ic_mou_6,0.0071,0.0111,0.0117,0.0071,0.0111,0.0117
loc_og_t2f_mou_8,roam_ic_mou_7,0.0036,0.0086,0.0118,0.0036,0.0086,0.0118
loc_og_t2f_mou_8,roam_ic_mou_8,-0.0004,0.0043,-0.0023,0.0004,0.0043,0.0023
loc_og_t2f_mou_8,roam_og_mou_6,0.0,0.0038,0.0096,0.0,0.0038,0.0096
loc_og_t2f_mou_8,roam_og_mou_7,0.0008,0.0061,0.0099,0.0008,0.0061,0.0099
loc_og_t2f_mou_8,roam_og_mou_8,-0.0003,0.0047,0.0013,0.0003,0.0047,0.0013
loc_og_t2f_mou_8,loc_og_t2t_mou_6,0.0685,0.0682,0.0247,0.0685,0.0682,0.0247
